Record ID,Title:,Publication year:,First author surname:,Is the article a relevant review?,Was the article published in or after 2004?,Is the article method empirical?,Is the article peer reviewed?,Is the article written in English?,Does the article describe a real world healthcare system or healthcare setting?,"Does the article describe an adaptation, response, or preparation for the impacts of pandemics OR climate change?","Does the article describe an IS model, theory, or framework in relation to the above response OR describe an IS-based tool to evaluate the response?",Additional notes about excluded study.,"Does the paper focus on a climate hazard(s), a pandemic(s), or both?",pandemic_type,Other pandemic event,What climate hazard does the article describe?,Other climate event,Does the article describe a response to a specific climate event e.g. Hurricane Katrina,Name of event(s),system_level,Comments,system_country,setting_type,Other health setting,aim,method,sites,implementation_science,Reason for 'unsure' rating:  ,nielsen_outcomes,process_model,implementation_theory,determinant_framework,classic_theory,evaluation_framework,implementation_stage,For how long?,proctor_outcomes,service_outcomes,client_oucomes,implementation_outcomes,Additional notes,Complete?
13,Reducing COVID-19 Vaccine Hesitancy by Implementing Organizational Intervention in a Primary Care Setting in Bahrain.,2021,Abou Leila,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"American Mission Hospital, Manama, BHR  (primary care hospital)",Bahrain,"Hospital ,Primary care ",,"""This quality improvement project aimed to improve the COVID-19 vaccine counseling and evaluate its effects on vaccine hesitancy among patients by comparing the rates before and after the intervention.""",Quantitative,Single site,Process model,,"PDSA, Model for Improvement","PDSA, Model for Improvement",,,,,"Pre,During",,"Service outcomes,Implementation outcomes",Effectiveness,,Adoption,"Model for improvement - more improvement science but was used in combination with PDSA and involves identifying, defining and diagnosing a problem, before developing solutions and implementing interventions that may address the identified issues (obtained from CEC website).   ""Accordingly, three Plan-Do-Study-Act (PDSA) cycles were conducted to attain the aim: PDSA one: addressing process barriers; PDSA two: upgrading the physicians' knowledge and communication skills; and PDSA three: patient education""",Complete
14,Barriers and Enablers to COVID-19 Vaccination in San Francisco's Spanish-Speaking Population.,2022,Abascal Miguel,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,San Francisco City and County Department of Public Health (SFDPH),USA,Public health,,"""The objective of the study  was to aid the SFPHD in identifying barriers and enablers contact traced participants were facing in 'real-time' as the pandemic unfolded (shelter in place, masking, vaccination). To build on understanding these barriers, the project also focused on identifying intervention functions and policies to address them. Additionally, this paper seeks to illustrate how  implementation science models and frameworks, specifcally the COM-B model and BCW framework, can be applied in real-time in public health programs to identify problems and find solutions.""",Qualitative,Multi-site,Implementation theory,,COM-B & Behaviour Change Wheel,,COM-B & Behaviour Change Wheel,,,,"Pre,During",,None,,,,,Complete
32,Characterizing modifications to a comparative effectiveness research study: the OPTIMIZE trial - using the Framework for Reporting Adaptations and Modifications to Evidence-based Interventions (FRAME),2023,Fritz,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,Three health-care systems in two states in the US - Salt Lake City and Baltimore,USA,Primary care ,,"""The purpose of this paper is to use the FRAME model to characterize the modifications made to the OPTIMIZE trial in response to the COVID pandemic and other challenges encountered in the participating health care delivery systems.""",Mixed-methods,Multi-site,Determinant framework,,"CFIR, FRAME",,,"CFIR, FRAME",,,During,,Implementation outcomes,,,Fidelity,Describe modifications made to the intervention for a randomised (pragmatic) trial on chronic lower back pain patients.  FRAME = (Framework for Reporting Adaptations and Modifications to Evidence-based interventions) ,Complete
33,Implementing psychological support for health and social care staff affected by the COVID-19 pandemic: a qualitative exploration of staff well-being hubs ('Resilience Hubs') using normalisation process theory,2023,Allsopp,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,Interviews conducted in three regions (but is an initiative that is part of the NHS). ,UK,Other,,"""This qualitative study was part of a wider mixed-methods evaluation, and the first study to evaluate the repurposing of the Hub model to (A) respond to a novel crisis, the COVID-19 pandemic and (B) support a new population: health and social care keyworkers. The qualitative study aimed to evaluate the implementation of three Hub services by identifying potential barriers and enablers to embedding the service model, its fit within the wider care system, and uptake by keyworkers""",Qualitative,Multi-site,"Determinant framework,Implementation theory",,"Normalisation process theory, TDF, COM-B & Behavior Change Wheel, Sekhon's Acceptability Framework,",,"Normalisation process theory, COM-B & Behaviour Change Wheel","TDF, Sekhon's Acceptability Framework",,,During,,"Client outcomes,Implementation outcomes",,Satisfaction,"Acceptability,Appropriateness,Feasibility,Sustainability","""The Greater Manchester Resilience Hub   was already expanding their offer of trauma-informed services, including staff well-being work, so was well placed to support health and social care staff during the pandemic. The Hubs offer a range of support, including outreach, mental health screening, assessment, and provision of individual and team-based psychological interventions.""    Acceptability framework - ""theoretical framework of acceptability that can be used to guide the assessment of acceptability from the perspectives of intervention deliverers and recipients, prospectively and retrospectively. We propose that acceptability is a multi-faceted construct, represented by seven component constructs: affective attitude, burden, perceived effectiveness, ethicality, intervention coherence, opportunity costs, and self-efficacy.""",Complete
44,The impact of COVID-19 on antimicrobial stewardship programme implementation in hospitals - an exploration informed by the Consolidated Framework for Implementation Research,2022,Hashad,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,,UAE,Hospital ,,"""This study aimed to improve understanding of antimicrobial stewardship programme implementation in hospitals during the COVID-19 pandemic, and to identify facilitators and barriers to antimicrobial stewardship programme implementation.""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,None,,,,Interviews developed and analysed using the CFIR; ASP implementation was already underway and this study looked at factors influencing it.,Complete
52,Up to the Challenge: Adapting Pediatric Intensive Care During a Global Pandemic,2022,Pereira,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Single site,"Hospital for Sick Children (SickKids), the  largest pediatric health care center in Canada.",Canada,Hospital ,,"""Aim: Describe the experiences and impacts of the rapidly initiated Adult COVID-19  Program on health care providers (HCP) and family members. Havelock's Theory of  Change framed the examination of Adult COVID-19 Program participant experiences  and surfaced lessons learned.""",Qualitative,Single site,Classic theory,,Havelock's Theory of Change,,,,Havelock's Theory of Change,,During,,"Service outcomes,Client outcomes,Implementation outcomes","Safety,Effectiveness,Patient-centredness,Timeliness",Satisfaction,"Acceptability,Sustainability",,Complete
54,Implementation of remote asthma consulting in general practice in response to the COVID-19 pandemic: an evaluation using extended Normalisation Process Theory,2022,Stewart,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Regional ,GPs across Northern Ireland,UK,Primary care ,,"""To explore the implementation of remote asthma consulting in UK general practice in response   to the COVID-19 pandemic.""",Mixed-methods,Multi-site,Implementation theory,,"Normalisation Process Theory (NPT), Normalisation MeAsure Development questionnaire (NoMAD) tool",,Normalisation Process Theory,,,Normalisation MeAsure Development questionnaire (NoMAD) tool,During,,"Service outcomes,Implementation outcomes",Efficiency,,Adoption,Interviews revealed data on perceptions of efficiency and extent of adoption.,Complete
56,Promising Strategies to Support COVID-19 Vaccination of Healthcare Personnel: Qualitative Insights from the VHA National Implementation,2022,Giannitrapani,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,National ,"Veterans Health Administration; ""interviewed 43 VHA employee occupational health providers including 22 physicians (MD/DO), 17 nurse practitioners and physician assistants (NP/PA), and 4 registered nurses (RN), from 29 of  VHA's medical centers throughout the US""",USA,Primary care ,,"""Our objective was to identify barriers and  facilitators of the Veterans Health Administration (VHA) HCP vaccination program""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,"Service outcomes,Implementation outcomes",Timeliness,,"Acceptability,Adoption",All the ticked implementation outcomes were reflected in interview data.,Complete
58,Implementation of tele visit healthcare services triggered by the COVID-19 emergency: the Trentino Province experience,2022,Testa,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,State / provincial / territorial ,,Italy,Tele-services,,"""This paper highlights how 'TreC_Televisita' was integrated into the Trentino healthcare system and its potential to become a structural and durable solution for the future local healthcare service provisioning.""",Mixed-methods,Multi-site,Determinant framework,,van Dyk's barrier framework,,,van Dyk's barrier framework,,,During,,"Service outcomes,Implementation outcomes","Efficiency,Effectiveness",,"Acceptability,Adoption,Feasibility,Sustainability","barrier fwork:  ""chosen for the  analysis of the barriers related to the large-scale adoption of TreC_Televisita. The framework defines four macro categories that include the main aspects for its development (technical and economical) and first adoption (behavioural and  organisational): the subdivision provides a definition in relation to the actors involved (end-users, policy, society as a whole) and to the practical elements necessary for its implementation""",Complete
61,Challenges for implementation of inter-sectoral efforts to improve outbreak response using consolidated framework for implementation research; Iran's COVID-19 experience,2022,Mirzania,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Pandemic event,COVID-19,,,,,,Municipal (e.g. local councils),Participants across various sites in Tehran.,Iran,"Hospital ,Research centre",,"""This study examined the challenges for implementation of inter-sectoral efforts to improve COVID-19 pandemic response in Iran using the consolidated framework for implementation research (CFIR)""",Qualitative,Multi-site,Determinant framework,,CFIR,,,CFIR,,,During,,None,,,,None of the outcomes shown in their data fit into the Proctor framework.,Complete
